session_name,classifier,cost,accuracy,beta1,beta2,calculated_learning_rate,classifier_instance,current_batch_index,current_batch_iteration_index,epoch,epsilon,f1,hidden_layers,iteration_count,lambd,learning_rate,learning_rate_decay,minibatch_size,precision,recall,shuffle,support,test_set,timestamp,total_batch_index,total_iteration_index
Session 0002,NeuralNetWithAdam,1.8501595651719327,0.44146559428060766,0.9,0.999,0.008,71545335-e676-495c-900f-ea04493f9eb1,0.0,5.0,0.0,1e-08,0.27040793995613166,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.1948918709335301,0.44146559428060766,1.0,1119.0,train,2017-09-30 18:39:32.768794,0.0,5.0
Session 0002,NeuralNetWithAdam,1.9204912317962783,0.25915996425379806,0.9,0.999,0.008,71545335-e676-495c-900f-ea04493f9eb1,0.0,6.0,0.0,1e-08,0.21143305571415066,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.25548344810397794,0.25915996425379806,1.0,1119.0,train,2017-09-30 18:39:32.776683,0.0,6.0
Session 0002,NeuralNetWithAdam,1.3225432756439424,0.450402144772118,0.9,0.999,0.008,71545335-e676-495c-900f-ea04493f9eb1,0.0,7.0,0.0,1e-08,0.2957015648959447,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.35999900587234807,0.450402144772118,1.0,1119.0,train,2017-09-30 18:39:32.784259,0.0,7.0
Session 0002,NeuralNetWithAdam,1.3471263093362726,0.38337801608579086,0.9,0.999,0.008,71545335-e676-495c-900f-ea04493f9eb1,0.0,8.0,0.0,1e-08,0.21418531229543902,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.2941854766640722,0.38337801608579086,1.0,1119.0,train,2017-09-30 18:39:32.791954,0.0,8.0
Session 0002,NeuralNetWithAdam,1.325553947946459,0.44235924932975873,0.9,0.999,0.008,71545335-e676-495c-900f-ea04493f9eb1,0.0,9.0,0.0,1e-08,0.28742646694195045,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.37830848768097514,0.44235924932975873,1.0,1119.0,train,2017-09-30 18:39:32.799694,0.0,9.0
Session 0002,NeuralNetWithAdam,1.222131722020169,0.44057193923145666,0.9,0.999,0.008,71545335-e676-495c-900f-ea04493f9eb1,0.0,10.0,0.0,1e-08,0.36524564334685233,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.35443491048860304,0.44057193923145666,1.0,1119.0,train,2017-09-30 18:39:32.807133,0.0,10.0
Session 0002,NeuralNetWithAdam,1.2166370259151318,0.46023235031277926,0.9,0.999,0.008,71545335-e676-495c-900f-ea04493f9eb1,0.0,11.0,0.0,1e-08,0.40754269757609,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.4006683559760833,0.46023235031277926,1.0,1119.0,train,2017-09-30 18:39:32.814726,0.0,11.0
Session 0002,NeuralNetWithAdam,1.2107066139312261,0.4682752457551385,0.9,0.999,0.008,71545335-e676-495c-900f-ea04493f9eb1,0.0,12.0,0.0,1e-08,0.4061816650418224,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.3837598913809814,0.4682752457551385,1.0,1119.0,train,2017-09-30 18:39:32.822116,0.0,12.0
Session 0002,NeuralNetWithAdam,1.19243089893629,0.44146559428060766,0.9,0.999,0.008,71545335-e676-495c-900f-ea04493f9eb1,0.0,13.0,0.0,1e-08,0.37657450582710933,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.3527317474502461,0.44146559428060766,1.0,1119.0,train,2017-09-30 18:39:32.829671,0.0,13.0
Session 0002,NeuralNetWithAdam,1.1834955870510748,0.4879356568364611,0.9,0.999,0.008,71545335-e676-495c-900f-ea04493f9eb1,0.0,14.0,0.0,1e-08,0.44170106157046135,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.40607868122700214,0.4879356568364611,1.0,1119.0,train,2017-09-30 18:39:32.837062,0.0,14.0
